"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"06037211121",911,685,366,384,355
"06037211122",638,527,478,185,381
"06037211201",722,642,497,320,347
"06037211202",636,656,443,284,410
"06037211310",1217,1294,670,486,209
"06037211320",877,783,657,268,295
"06037211410",828,868,691,199,187
"06037211420",1142,1099,677,526,191
"06037211802",1096,1589,1220,318,523
"06037211803",939,854,745,622,583
"06037211804",1288,763,613,264,307
"06037211910",994,1036,953,621,528
"06037211921",531,607,432,266,180
"06037211922",763,910,931,423,274
"06037212101",531,626,716,429,618
"06037212102",1145,692,738,137,290
"06037212202",1357,1097,909,333,159
"06037212203",395,1035,570,317,278
"06037212204",971,1015,506,275,514
"06037212303",1505,1118,625,168,464
"06037212304",456,435,376,185,165
"06037212305",1139,929,644,96,169
"06037212306",802,690,577,438,263
"06037212410",1394,1398,646,395,403
"06037212420",766,906,544,361,329
"06037212501",477,341,714,83,312
"06037212502",966,817,825,440,815
"06037213201",1081,1510,664,382,244
"06037213202",831,1260,606,378,375
"06037213310",667,667,685,181,162
"06037213320",508,747,628,145,239
"06037213401",1779,1304,1234,165,264
"06037213402",1241,1221,1078,408,223
