"geoid","MC","NS","SM","NF","GQ"
"06037211121",256,200,253,315,136
"06037211122",101,217,682,194,130
"06037211201",253,287,483,86,93
"06037211202",224,157,411,269,0
"06037211310",375,359,603,264,16
"06037211320",306,344,444,107,15
"06037211410",435,294,336,100,65
"06037211420",397,299,496,80,21
"06037211802",565,523,935,281,38
"06037211803",484,439,747,145,4
"06037211804",514,238,459,107,63
"06037211910",499,269,950,269,77
"06037211921",228,303,344,61,0
"06037211922",446,278,469,244,0
"06037212101",310,182,888,291,0
"06037212102",343,210,541,140,0
"06037212202",424,271,396,290,23
"06037212203",192,194,860,229,212
"06037212204",419,316,775,220,3
"06037212303",409,295,823,258,6
"06037212304",179,134,364,134,0
"06037212305",190,267,413,167,56
"06037212306",372,169,309,239,24
"06037212410",299,419,762,258,0
"06037212420",329,247,452,181,47
"06037212501",237,168,500,72,0
"06037212502",381,260,922,288,0
"06037213201",601,430,531,185,0
"06037213202",544,314,241,147,97
"06037213310",256,271,321,94,38
"06037213320",216,270,357,79,93
"06037213401",551,614,329,129,26
"06037213402",545,412,702,117,113
