"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"06037211121",37,189,0,5,365,189,11,35,157,0,0,36,136
"06037211122",101,174,9,188,452,75,24,43,79,22,0,27,130
"06037211201",45,171,7,143,439,53,5,69,111,0,29,37,93
"06037211202",143,96,0,138,188,85,0,76,277,16,7,35,0
"06037211310",117,212,0,237,147,258,103,255,175,0,10,87,16
"06037211320",204,57,12,187,299,75,11,71,96,49,10,130,15
"06037211410",91,60,21,54,433,152,50,137,144,0,0,23,65
"06037211420",151,85,24,94,402,64,0,197,99,0,18,138,21
"06037211802",199,272,0,219,784,123,86,148,409,17,27,20,38
"06037211803",49,182,26,222,588,57,0,320,291,0,27,53,4
"06037211804",167,222,36,36,421,85,8,230,72,0,33,8,63
"06037211910",140,240,0,258,686,109,53,262,71,47,62,59,77
"06037211921",124,74,0,57,306,69,63,105,52,26,50,10,0
"06037211922",158,38,10,161,442,158,47,93,160,41,49,80,0
"06037212101",76,215,9,298,502,99,82,125,188,0,0,77,0
"06037212102",155,156,35,131,442,67,17,83,75,30,5,38,0
"06037212202",174,17,0,123,312,168,152,144,131,32,37,91,23
"06037212203",381,148,11,242,352,73,47,43,101,0,69,8,212
"06037212204",52,324,31,342,616,0,28,100,108,9,70,50,3
"06037212303",255,224,0,215,787,62,87,56,21,0,47,31,6
"06037212304",89,18,0,163,307,39,46,73,49,20,0,7,0
"06037212305",113,34,34,157,280,24,72,58,152,0,20,93,56
"06037212306",54,66,11,41,354,57,46,160,245,0,19,36,24
"06037212410",189,122,64,141,541,62,61,185,172,74,41,86,0
"06037212420",83,73,0,230,312,47,28,147,202,0,13,74,47
"06037212501",49,130,0,50,459,14,38,66,95,20,10,46,0
"06037212502",65,107,27,265,775,75,63,206,179,30,22,37,0
"06037213201",252,159,8,208,524,196,51,116,141,38,30,24,0
"06037213202",50,98,66,91,273,121,75,65,192,41,73,101,97
"06037213310",83,57,58,22,236,91,13,71,138,0,66,107,38
"06037213320",138,68,11,68,290,64,14,20,163,27,0,59,93
"06037213401",98,123,17,53,572,56,82,216,188,27,4,187,26
"06037213402",135,163,92,233,678,50,32,104,104,42,39,104,113
