"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"060372111211",455,87,254,176
"060372111212",724,224,351,260
"060372111221",282,28,183,86
"060372111222",989,29,412,219
"060372112011",460,38,94,28
"060372112012",897,57,602,373
"060372112021",1467,72,558,304
"060372113101",813,60,342,147
"060372113102",1231,213,408,458
"060372113201",469,60,252,105
"060372113202",1119,84,610,359
"060372114101",1128,33,775,369
"060372114102",300,13,122,27
"060372114201",1221,179,613,344
"060372114202",586,12,248,235
"060372118021",1343,111,524,249
"060372118022",1143,232,316,252
"060372118031",943,107,388,222
"060372118032",1449,108,314,275
"060372118041",351,18,223,183
"060372118042",987,195,742,433
"060372119101",729,45,423,149
"060372119102",842,29,239,189
"060372119103",874,94,248,178
"060372119211",1248,30,456,254
"060372119221",1244,0,251,163
"060372119222",752,210,723,271
"060372121011",666,32,274,169
"060372121012",1286,70,397,85
"060372121021",311,14,300,13
"060372121022",927,103,696,546
"060372122021",1365,0,615,537
"060372122022",752,65,349,187
"060372122031",946,77,383,39
"060372122032",447,41,716,181
"060372122041",839,93,555,53
"060372122042",1016,0,630,411
"060372123031",442,184,409,581
"060372123041",954,44,355,287
"060372123051",1474,52,664,619
"060372123061",739,47,230,80
"060372123062",827,3,382,378
"060372124101",708,41,183,55
"060372124102",575,7,293,374
"060372124201",1197,68,328,334
"060372124202",576,0,161,98
"060372125011",1223,87,359,246
"060372125021",1516,22,400,368
"060372125022",954,43,162,126
"060372132011",535,130,513,207
"060372132012",672,105,494,139
"060372132013",623,60,403,205
"060372132021",764,38,382,154
"060372132022",1168,117,646,271
"060372133101",587,38,400,242
"060372133102",869,25,360,139
"060372133201",532,23,464,186
"060372133202",732,20,279,105
"060372134011",944,70,423,346
"060372134012",963,22,240,335
"060372134021",1076,10,677,432
"060372134022",369,19,143,77
"060372134023",754,36,614,128
