"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"06037211121",0,17,16,24,0,16,223,170,102,245,70,141,136
"06037211122",0,0,31,16,0,27,319,324,87,216,148,26,130
"06037211201",7,26,7,20,7,20,153,197,294,142,94,142,93
"06037211202",11,0,0,0,21,0,164,248,267,84,75,191,0
"06037211310",12,0,10,19,26,34,408,430,421,64,144,33,16
"06037211320",0,0,0,11,7,24,342,227,178,79,276,57,15
"06037211410",6,0,9,15,10,30,135,452,343,52,46,67,65
"06037211420",33,15,15,47,8,63,300,245,249,79,132,86,21
"06037211802",15,35,53,0,16,15,559,570,573,75,191,202,38
"06037211803",75,10,13,12,4,14,173,425,340,230,261,258,4
"06037211804",0,0,0,0,0,4,413,314,151,146,221,69,63
"06037211910",0,7,0,34,7,0,254,488,280,528,323,66,77
"06037211921",0,0,0,6,0,0,279,197,178,81,162,33,0
"06037211922",0,0,0,0,0,13,202,373,390,208,218,33,0
"06037212101",50,9,25,31,24,49,263,360,223,185,218,234,0
"06037212102",0,0,21,12,0,0,303,365,241,122,119,51,0
"06037212202",0,11,49,13,28,16,373,184,237,284,145,41,23
"06037212203",11,0,0,0,0,0,602,321,217,74,91,159,212
"06037212204",0,0,0,0,0,56,624,424,144,177,195,110,3
"06037212303",0,0,0,0,0,0,644,457,211,126,201,146,6
"06037212304",6,4,0,0,0,0,159,277,162,73,106,24,0
"06037212305",9,0,0,0,0,0,215,344,246,87,84,52,56
"06037212306",0,12,0,0,26,12,219,131,367,44,166,112,24
"06037212410",47,0,0,18,0,31,481,362,309,166,145,179,0
"06037212420",0,0,0,0,6,22,244,240,282,191,106,118,47
"06037212501",10,10,9,30,0,10,131,344,99,104,95,135,0
"06037212502",0,8,0,37,0,51,243,511,226,237,171,367,0
"06037213201",8,10,48,0,30,17,539,413,273,161,179,69,0
"06037213202",11,45,68,35,50,65,193,229,189,132,115,114,97
"06037213310",17,11,0,0,36,23,251,187,94,149,69,105,38
"06037213320",0,11,11,0,0,64,245,264,61,66,124,76,93
"06037213401",10,14,0,0,35,23,284,376,317,452,73,39,26
"06037213402",0,10,58,3,0,0,488,408,392,193,115,109,113
