"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"06037211121",352,199,219,284,72,114,599,303,249,140
"06037211122",181,511,166,190,78,140,587,152,147,76
"06037211201",232,408,374,310,64,211,261,283,293,113
"06037211202",214,313,406,213,42,118,411,312,302,70
"06037211310",444,754,358,367,46,249,529,388,426,111
"06037211320",334,509,270,495,18,264,340,302,354,172
"06037211410",353,297,184,497,158,88,314,279,433,164
"06037211420",279,703,401,358,135,353,408,200,371,230
"06037211802",348,1011,465,369,97,406,967,737,388,124
"06037211803",264,702,565,370,66,331,532,570,319,87
"06037211804",540,276,397,250,82,173,472,307,364,271
"06037211910",251,751,729,440,89,277,598,493,319,92
"06037211921",198,273,314,114,57,129,280,276,273,74
"06037211922",235,672,552,212,26,282,888,316,327,104
"06037212101",123,825,310,208,86,162,533,326,257,149
"06037212102",379,469,325,203,101,218,277,392,319,227
"06037212202",425,776,374,454,89,332,615,425,280,100
"06037212203",240,672,241,170,119,103,553,173,238,321
"06037212204",219,756,370,294,63,398,463,470,358,206
"06037212303",267,959,523,288,25,530,566,408,131,16
"06037212304",210,362,175,123,29,95,335,134,100,77
"06037212305",286,442,368,450,57,407,280,218,242,59
"06037212306",309,428,295,193,104,206,448,287,339,77
"06037212410",462,963,338,262,129,272,640,519,301,168
"06037212420",298,336,243,342,98,134,597,258,377,79
"06037212501",131,351,144,277,0,115,383,231,210,73
"06037212502",145,647,431,381,136,349,686,423,264,129
"06037213201",281,552,445,464,156,367,532,465,529,295
"06037213202",330,488,465,425,107,181,471,333,615,125
"06037213310",163,440,273,581,44,251,363,145,342,58
"06037213320",182,476,153,228,153,185,329,170,269,196
"06037213401",246,667,545,635,100,711,395,461,551,146
"06037213402",293,611,564,500,110,441,665,404,534,213
