"geoid","0","1","2","3+","GQ"
"06037211121",226,559,203,36,136
"06037211122",284,715,146,49,130
"06037211201",223,635,185,66,93
"06037211202",239,411,353,58,0
"06037211310",329,642,533,97,16
"06037211320",273,561,178,189,15
"06037211410",172,639,331,23,65
"06037211420",260,560,296,156,21
"06037211802",471,1126,643,64,38
"06037211803",257,867,611,80,4
"06037211804",425,542,310,41,63
"06037211910",380,1053,386,168,77
"06037211921",198,432,220,86,0
"06037211922",206,761,300,170,0
"06037212101",300,899,395,77,0
"06037212102",346,640,175,73,0
"06037212202",191,603,427,160,23
"06037212203",540,667,191,77,212
"06037212204",407,958,236,129,3
"06037212303",479,1064,164,78,6
"06037212304",107,509,168,27,0
"06037212305",181,461,282,113,56
"06037212306",131,452,451,55,24
"06037212410",375,744,418,201,0
"06037212420",156,589,377,87,47
"06037212501",179,523,199,76,0
"06037212502",199,1115,448,89,0
"06037213201",419,928,308,92,0
"06037213202",214,485,332,215,97
"06037213310",198,349,222,173,38
"06037213320",217,422,197,86,93
"06037213401",238,681,486,218,26
"06037213402",390,961,240,185,113
