"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"56001962700",105,106,93,138,407,249,8,23,25,9,16,138,0
"56001962800",23,148,154,151,241,143,204,114,117,6,30,0,186
"56001962900",115,91,155,58,232,14,53,170,14,23,0,26,0
"56001963000",40,31,59,36,36,58,280,376,130,51,27,38,55
"56001963400",91,31,47,67,175,99,616,470,141,146,60,31,35
"56001963500",0,0,0,0,0,0,216,38,27,14,0,0,2159
"56001963600",74,98,219,137,287,145,336,439,146,113,117,0,78
"56001963700",62,155,179,280,354,403,652,375,517,214,275,36,61
"56001963900",113,166,98,125,325,277,8,6,6,0,21,33,3
"56021000200",201,367,154,288,105,65,278,265,275,131,33,139,9
"56021000300",136,180,178,203,244,153,209,79,26,71,75,0,8
"56021000401",238,344,301,307,209,151,120,183,91,88,61,28,8
"56021000800",69,102,103,67,137,70,49,38,33,23,23,3,0
"56021000900",75,129,137,150,260,261,11,145,93,48,63,50,0
"56021001000",84,159,104,118,134,162,150,231,121,145,45,17,1
"56021001100",0,0,10,0,0,0,61,112,320,147,111,120,536
"56021001200",73,141,272,306,377,611,94,76,201,60,49,20,5
"56021001401",72,108,167,228,295,322,46,117,76,43,14,27,39
"56021001402",36,53,182,45,335,226,155,115,39,101,33,27,146
"56021001501",163,106,309,356,565,603,270,21,119,37,15,0,2
"56021001502",123,275,374,80,229,407,347,238,147,65,72,122,5
"56021001901",83,153,135,154,476,948,4,4,79,47,0,19,2
"56021001902",115,255,210,161,512,582,0,48,28,12,17,0,0
"56021980801",0,0,0,0,0,0,0,0,0,0,0,0,0
