"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"560019627001",786,0,225,270
"560019627002",670,11,291,192
"560019628001",965,13,320,510
"560019628002",479,40,200,112
"560019629001",637,60,157,175
"560019629002",365,14,237,55
"560019630001",682,25,98,0
"560019630002",784,23,320,114
"560019634001",751,0,246,52
"560019634002",640,13,96,68
"560019634003",377,67,86,134
"560019634004",707,0,207,59
"560019635001",806,46,518,15
"560019635002",456,104,712,0
"560019636001",745,23,325,145
"560019636002",887,25,334,207
"560019636003",309,42,180,63
"560019636004",824,28,317,169
"560019637001",1020,7,272,78
"560019637002",589,11,204,170
"560019637003",1513,46,572,460
"560019637004",1003,1,810,428
"560019639001",331,0,262,123
"560019639002",262,0,433,0
"560210002001",394,0,248,55
"560210002002",610,25,157,293
"560210002003",580,61,101,139
"560210003001",543,33,169,242
"560210003002",706,56,437,717
"560210004011",396,0,257,174
"560210004012",403,30,155,240
"560210004013",346,13,168,235
"560210004014",542,0,223,105
"560210004015",752,45,431,705
"560210008001",474,6,94,116
"560210008002",375,0,206,156
"560210009001",432,0,134,100
"560210009002",321,0,196,61
"560210009003",350,16,217,32
"560210009004",413,11,206,147
"560210010001",497,29,88,279
"560210010002",403,14,311,110
"560210010003",390,1,113,17
"560210010004",369,58,135,29
"560210011001",636,0,137,283
"560210011002",931,6,128,275
"560210011003",259,0,105,176
"560210012001",1099,0,489,440
"560210012002",464,0,381,165
"560210012003",467,27,233,10
"560210012004",442,41,418,0
"560210014011",506,1,312,256
"560210014012",1087,21,402,415
"560210014013",427,10,201,84
"560210014021",423,0,258,242
"560210014022",1150,52,574,459
"560210015011",1165,26,355,450
"560210015012",1657,32,1118,505
"560210015013",156,81,251,43
"560210015021",576,0,290,113
"560210015022",1303,15,587,453
"560210015023",625,29,227,161
"560210019011",861,12,703,652
"560210019012",1323,28,658,476
"560210019013",577,69,224,387
"560210019021",711,28,401,429
"560210019022",1085,43,515,434
"560210019023",476,10,482,163
"560219808011",0,0,0,0
