"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"560019627001",58,172,115,72,6,0,114,7,17,9,0,0,0
"560019627002",103,159,135,75,0,10,0,9,0,8,0,0,0
"560019628001",56,190,119,29,42,42,68,46,25,22,20,0,93
"560019628002",77,57,85,10,7,1,88,6,0,16,0,0,93
"560019629001",59,163,95,53,0,0,91,18,63,13,0,0,0
"560019629002",79,73,51,91,1,0,64,37,0,0,0,0,0
"560019630001",49,13,49,0,0,0,196,125,29,10,0,0,27
"560019630002",57,43,9,6,34,0,332,104,47,59,0,0,28
"560019634001",119,35,19,5,19,0,310,102,68,0,0,0,9
"560019634002",16,12,0,23,0,0,101,173,73,0,15,0,8
"560019634003",37,45,0,0,38,0,122,91,13,0,0,0,9
"560019634004",74,68,0,0,0,0,52,162,151,0,31,0,9
"560019635001",0,0,0,0,0,0,74,163,12,6,0,0,1080
"560019635002",0,0,0,0,0,0,9,31,0,0,0,0,1079
"560019636001",112,127,36,54,17,0,50,117,78,0,0,0,19
"560019636002",29,36,17,43,0,0,134,197,171,0,0,0,20
"560019636003",43,103,17,0,0,0,109,75,0,14,0,0,19
"560019636004",45,147,60,30,44,0,39,66,41,60,0,0,20
"560019637001",168,125,10,10,10,0,209,212,77,16,0,0,15
"560019637002",43,26,61,19,0,8,146,72,111,0,0,0,15
"560019637003",130,250,147,179,29,14,118,34,212,27,0,0,15
"560019637004",56,106,0,42,0,0,316,127,337,16,0,39,16
"560019639001",140,113,40,36,0,13,0,21,0,0,0,0,2
"560019639002",61,266,19,0,0,0,1,0,17,0,0,0,1
"560210002001",164,123,41,16,0,0,23,12,23,0,0,0,3
"560210002002",131,49,29,0,56,0,109,0,67,0,0,0,3
"560210002003",124,45,0,12,0,0,151,155,0,45,0,0,3
"560210003001",56,116,63,34,14,25,10,0,22,12,0,0,4
"560210003002",101,30,75,62,23,0,108,126,8,27,23,46,4
"560210004011",62,85,25,18,29,0,51,17,19,0,0,38,2
"560210004012",54,43,0,0,0,49,18,33,34,36,40,0,2
"560210004013",27,28,22,0,16,0,82,79,42,44,0,0,2
"560210004014",27,213,92,35,0,0,0,0,0,0,0,0,1
"560210004015",328,144,102,0,131,20,0,36,0,0,0,2,1
"560210008001",115,71,73,0,0,11,8,18,10,16,0,0,0
"560210008002",107,130,14,12,7,8,86,14,5,0,0,12,0
"560210009001",19,108,29,49,0,0,53,0,34,0,8,0,0
"560210009002",80,152,0,0,20,3,13,27,0,0,0,0,0
"560210009003",179,55,68,11,0,0,38,40,0,0,0,0,0
"560210009004",110,124,0,5,0,0,100,37,0,60,0,0,0
"560210010001",63,62,30,0,0,29,109,0,10,56,0,0,1
"560210010002",94,97,60,0,0,4,85,30,20,29,0,0,0
"560210010003",125,99,9,5,0,0,54,12,20,0,0,0,0
"560210010004",0,68,16,0,0,0,203,64,17,0,0,0,0
"560210011001",0,0,0,0,0,0,31,147,130,48,29,30,179
"560210011002",0,0,0,0,0,0,0,92,79,80,0,16,179
"560210011003",0,0,10,0,0,0,0,105,59,25,0,0,178
"560210012001",139,331,66,161,52,56,31,0,0,0,0,0,2
"560210012002",42,213,28,36,0,42,0,40,0,0,0,0,1
"560210012003",149,84,18,0,0,0,272,32,0,0,0,0,1
"560210012004",127,166,55,15,0,0,17,108,0,0,0,0,1
"560210014011",134,125,60,19,0,5,11,11,0,52,16,0,13
"560210014012",87,240,58,89,51,39,54,45,25,0,0,0,13
"560210014013",113,112,33,10,17,0,70,24,0,15,0,0,13
"560210014021",66,148,26,42,70,8,0,0,0,0,0,0,73
"560210014022",223,135,101,20,9,29,181,119,111,42,10,7,73
"560210015011",224,166,238,172,13,0,56,0,0,0,0,0,1
"560210015012",205,482,191,245,27,25,46,63,72,0,12,0,0
"560210015013",46,12,21,0,35,0,192,0,21,0,0,0,1
"560210015021",77,79,49,38,40,0,78,73,0,0,0,0,2
"560210015022",193,242,108,132,0,0,166,66,0,83,0,52,2
"560210015023",150,69,0,58,28,19,89,0,0,28,0,0,1
"560210019011",61,401,165,34,94,17,23,0,0,0,0,0,0
"560210019012",86,323,153,120,28,78,4,93,0,0,0,0,1
"560210019013",30,163,10,62,124,0,16,17,0,0,0,0,1
"560210019021",39,285,32,146,11,27,0,0,36,0,0,0,0
"560210019022",128,359,109,31,123,0,12,28,0,0,0,0,0
"560210019023",257,165,31,68,24,0,0,17,0,12,0,0,0
"560219808011",0,0,0,0,0,0,0,0,0,0,0,0,0
