"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"56001962700",0,108,140,10,98,367,0,17,505,0,0,72,0
"56001962800",29,80,109,0,420,176,0,38,392,0,26,61,186
"56001962900",13,132,39,48,145,204,0,53,307,0,0,10,0
"56001963000",85,108,29,102,308,176,0,75,207,0,0,72,55
"56001963400",33,120,144,91,530,298,0,96,552,0,0,110,35
"56001963500",19,33,5,5,105,49,0,34,43,0,0,2,2159
"56001963600",12,221,261,109,246,291,57,74,735,0,16,89,78
"56001963700",108,371,272,43,649,614,19,275,991,0,0,160,61
"56001963900",6,33,343,0,85,439,0,22,233,0,0,17,3
"56021000200",33,272,82,21,747,412,0,50,563,0,92,29,9
"56021000300",53,254,127,35,193,260,0,13,505,0,0,114,8
"56021000401",10,217,382,21,293,652,14,22,334,0,0,176,8
"56021000800",20,71,99,19,199,50,20,29,199,0,0,11,0
"56021000900",0,211,136,9,331,278,0,34,420,0,0,3,0
"56021001000",32,131,105,89,486,318,0,9,259,0,0,41,1
"56021001100",0,0,14,0,172,243,31,107,314,0,0,0,536
"56021001200",0,276,403,62,318,526,11,13,565,0,0,106,5
"56021001401",11,152,233,78,230,239,0,20,436,0,0,116,39
"56021001402",62,151,155,0,331,123,0,33,398,0,0,94,146
"56021001501",151,397,336,0,257,314,0,24,852,0,13,220,2
"56021001502",206,418,169,42,404,273,0,136,415,0,0,416,5
"56021001901",6,100,476,0,79,407,7,52,793,0,0,182,2
"56021001902",21,70,490,61,87,417,15,46,672,0,0,61,0
"56021980801",0,0,0,0,0,0,0,0,0,0,0,0,0
