"geoid","MC","NS","SM","NF","GQ"
"56001962700",754,115,357,91,0
"56001962800",627,174,465,65,186
"56001962900",370,202,293,86,0
"56001963000",177,106,634,245,55
"56001963400",453,149,831,541,35
"56001963500",46,5,83,161,2159
"56001963600",654,300,561,596,78
"56001963700",1095,462,1186,759,61
"56001963900",749,73,270,86,3
"56021000200",738,343,898,322,9
"56021000300",800,315,412,27,8
"56021000401",1030,356,649,86,8
"56021000800",219,140,316,42,0
"56021000900",637,109,592,84,0
"56021001000",525,126,733,86,1
"56021001100",745,105,31,0,536
"56021001200",1322,60,777,121,5
"56021001401",822,134,469,90,39
"56021001402",659,165,470,53,146
"56021001501",1458,273,769,64,2
"56021001502",934,369,1101,75,5
"56021001901",1648,146,220,88,2
"56021001902",1228,75,436,201,0
"56021980801",0,0,0,0,0
