"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"56001962700",653,529,494,437,827
"56001962800",885,834,571,529,415
"56001962900",294,484,504,320,118
"56001963000",148,803,716,203,149
"56001963400",434,1656,629,367,383
"56001963500",21,2133,132,25,14
"56001963600",730,1563,954,772,493
"56001963700",1446,2330,1086,1290,958
"56001963900",677,604,467,193,816
"56021000200",1114,1359,1343,563,330
"56021000300",1618,1149,693,506,526
"56021000401",1891,1337,904,788,479
"56021000800",291,303,331,199,275
"56021000900",471,460,513,408,756
"56021001000",527,585,632,553,485
"56021001100",1012,592,695,321,284
"56021001200",810,881,741,748,1407
"56021001401",963,679,633,634,886
"56021001402",914,789,424,551,627
"56021001501",1272,1035,1078,1118,1209
"56021001502",1123,1276,1427,835,655
"56021001901",1902,994,880,649,1776
"56021001902",1245,879,933,612,1227
"56021980801",0,0,0,0,0
