"geoid","0","1","2","3+","GQ"
"56001962700",248,475,522,72,0
"56001962800",218,596,430,87,186
"56001962900",184,397,360,10,0
"56001963000",222,586,282,72,55
"56001963400",297,919,648,110,35
"56001963500",57,159,77,2,2159
"56001963600",494,646,866,105,78
"56001963700",751,1306,1285,160,61
"56001963900",382,524,255,17,3
"56021000200",387,1180,613,121,9
"56021000300",434,488,518,114,8
"56021000401",609,966,370,176,8
"56021000800",190,268,248,11,0
"56021000900",347,618,454,3,0
"56021001000",268,893,268,41,1
"56021001100",14,415,452,0,536
"56021001200",679,906,589,106,5
"56021001401",396,547,456,116,39
"56021001402",368,454,431,94,146
"56021001501",884,571,876,233,2
"56021001502",793,719,551,416,5
"56021001901",582,486,852,182,2
"56021001902",581,565,733,61,0
"56021980801",0,0,0,0,0
