"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"56001962700",224,257,329,508,194,361,271,297,347,149
"56001962800",398,460,289,354,71,353,368,350,441,62
"56001962900",138,276,256,212,26,136,276,175,165,40
"56001963000",25,487,232,161,18,110,609,152,191,61
"56001963400",191,1223,255,202,52,185,951,150,215,79
"56001963500",8,1292,26,15,0,10,1259,26,17,4
"56001963600",466,1150,318,365,86,204,1214,331,243,246
"56001963700",650,1828,697,495,253,526,1293,486,564,392
"56001963900",241,115,238,389,393,315,113,201,467,289
"56021000200",499,1051,214,541,149,465,873,271,494,228
"56021000300",891,460,414,320,117,589,490,530,387,143
"56021000401",902,488,477,651,188,701,396,464,690,263
"56021000800",185,121,159,157,91,98,148,122,202,144
"56021000900",137,242,323,426,168,220,253,235,439,193
"56021001000",250,476,348,271,179,200,477,232,342,68
"56021001100",453,1084,166,51,0,326,646,161,49,0
"56021001200",278,370,433,610,496,434,370,420,728,537
"56021001401",438,415,310,623,253,442,377,278,412,174
"56021001402",310,120,447,466,217,497,209,271,329,292
"56021001501",476,619,643,812,264,649,617,715,570,474
"56021001502",431,704,561,689,252,663,379,521,680,424
"56021001901",795,361,562,834,368,920,383,593,843,311
"56021001902",651,125,487,839,388,408,262,580,696,341
"56021980801",0,0,0,0,0,0,0,0,0,0
