"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"56005000200",1389,1144,974,977,94,873,792,912,1015,212
"56005000300",893,712,405,790,156,738,429,587,553,161
"56005000400",357,610,462,357,135,392,377,182,478,99
"56005000500",1097,744,836,591,238,1209,757,715,802,123
"56005000600",388,597,379,785,401,467,320,475,897,458
"56011950200",681,305,428,655,323,675,382,289,681,323
"56011950300",262,184,286,492,194,215,174,259,426,221
"56015957700",180,220,121,301,189,136,166,142,327,149
"56015957800",287,465,202,482,230,335,387,238,568,237
"56015957900",353,301,554,616,377,588,335,241,360,540
"56015958000",342,483,306,321,216,252,329,262,310,157
"56019955100",239,43,220,327,331,181,61,286,254,217
"56027957200",136,190,132,330,270,112,295,163,466,274
"56031959100",291,121,179,342,194,278,157,295,311,239
"56043000200",332,269,282,581,183,342,215,292,430,209
"56043000301",286,259,225,289,76,247,219,160,271,157
"56043000302",206,121,257,325,230,202,220,188,328,302
"56045951100",252,262,469,593,246,270,214,116,468,308
"56045951300",481,388,328,512,237,337,242,418,428,257
