"geoid","0","1","2","3+","GQ"
"56005000200",415,936,1481,203,192
"56005000300",494,618,675,239,0
"56005000400",429,637,349,84,84
"56005000500",243,1060,802,237,154
"56005000600",957,871,735,17,111
"56011950200",487,579,577,105,0
"56011950300",290,453,336,80,45
"56015957700",211,320,303,16,3
"56015957800",566,521,344,34,202
"56015957900",747,580,372,34,646
"56015958000",366,338,365,83,112
"56019955100",351,140,410,23,1
"56027957200",403,459,292,34,214
"56031959100",413,338,229,28,3
"56043000200",330,551,308,141,56
"56043000301",341,354,279,28,23
"56043000302",335,311,410,6,81
"56045951100",511,485,328,14,261
"56045951300",417,478,605,10,115
