"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"56005000200",60,198,157,0,135,801,140,44,1297,0,0,203,192
"56005000300",51,156,287,48,232,338,0,302,373,0,69,170,0
"56005000400",19,117,293,18,141,478,0,17,332,0,62,22,84
"56005000500",7,62,174,14,306,740,30,0,772,0,0,237,154
"56005000600",146,500,311,0,366,505,0,113,622,0,0,17,111
"56011950200",29,101,357,17,111,451,0,2,575,0,0,105,0
"56011950300",25,65,200,0,163,290,0,35,301,0,0,80,45
"56015957700",8,52,151,0,36,284,3,22,278,0,0,16,3
"56015957800",14,321,231,50,181,290,20,22,302,0,0,34,202
"56015957900",163,280,304,41,190,349,0,0,372,0,0,34,646
"56015958000",2,86,278,0,97,241,0,2,363,0,0,83,112
"56019955100",0,61,290,0,85,55,0,6,404,0,0,23,1
"56027957200",3,133,267,6,263,190,0,10,282,0,0,34,214
"56031959100",8,214,191,0,127,211,0,29,200,0,6,22,3
"56043000200",25,92,213,11,80,460,4,34,270,0,0,141,56
"56043000301",32,142,167,0,163,191,15,23,241,0,0,28,23
"56043000302",11,197,127,9,104,198,0,20,390,0,0,6,81
"56045951100",38,122,351,0,66,419,0,0,328,0,0,14,261
"56045951300",54,103,260,9,177,292,0,55,550,0,0,10,115
