"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"56005000200",2504,1709,1088,1109,1868
"56005000300",1722,1068,1567,777,519
"56005000400",862,894,691,474,450
"56005000500",2836,958,914,777,1781
"56005000600",1071,1241,936,1006,772
"56011950200",1679,1159,751,709,717
"56011950300",523,682,552,490,489
"56015957700",334,493,516,305,213
"56015957800",670,1040,824,329,472
"56015957900",1206,1433,568,566,449
"56015958000",705,903,596,439,322
"56019955100",450,501,470,269,479
"56027957200",245,814,483,474,299
"56031959100",606,597,536,241,398
"56043000200",679,953,683,372,482
"56043000301",644,525,444,398,206
"56043000302",415,624,583,236,500
"56045951100",600,757,591,377,694
"56045951300",907,767,714,445,871
