"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"560050002001",1134,25,619,744
"560050002002",802,24,236,307
"560050002003",1553,21,267,408
"560050002004",1119,41,506,576
"560050003001",578,0,168,235
"560050003002",736,0,154,309
"560050003003",943,22,714,622
"560050003004",511,73,120,239
"560050004001",605,73,181,294
"560050004002",567,2,144,48
"560050004003",339,78,405,103
"560050004004",335,19,57,199
"560050005001",639,44,184,494
"560050005002",1581,42,315,627
"560050005003",742,32,374,544
"560050006001",534,0,459,362
"560050006002",1601,19,870,344
"560050006003",291,104,481,102
"560119502001",711,18,328,346
"560119502002",436,0,166,49
"560119502003",669,0,300,549
"560119503001",623,0,441,276
"560119503002",845,0,385,143
"560159577001",485,1,460,182
"560159577002",486,13,206,98
"560159578001",362,25,235,62
"560159578002",706,18,489,333
"560159578003",524,49,509,119
"560159579001",364,61,557,327
"560159579002",550,13,1060,199
"560159579003",110,0,83,135
"560159579004",404,10,192,200
"560159580001",287,0,170,191
"560159580002",380,0,366,103
"560159580003",803,5,467,206
"560199551001",488,3,438,178
"560279572001",589,19,660,144
"560279572002",556,10,304,86
"560319591001",614,65,540,273
"560319591002",285,19,424,187
"560430002001",488,6,265,112
"560430002002",440,20,172,128
"560430002003",357,9,305,117
"560430003011",349,24,163,172
"560430003012",356,4,162,205
"560430003013",329,11,283,131
"560430003021",743,17,455,157
"560430003022",406,16,400,185
"560459511001",635,8,444,158
"560459511002",605,18,1029,301
"560459513001",638,7,312,190
"560459513002",592,0,446,307
"560459513003",727,0,203,206
