"geoid","MC","NS","SM","NF","GQ"
"56005000200",1836,387,508,304,192
"56005000300",1086,460,343,137,0
"56005000400",581,220,529,169,84
"56005000500",1396,334,540,72,154
"56005000600",1025,281,1060,214,111
"56011950200",1123,110,412,103,0
"56011950300",706,94,331,28,45
"56015957700",600,5,190,55,3
"56015957800",668,179,567,51,202
"56015957900",702,258,707,66,646
"56015958000",712,74,273,93,112
"56019955100",633,49,179,63,1
"56027957200",555,48,520,65,214
"56031959100",430,206,348,24,3
"56043000200",752,106,404,68,56
"56043000301",349,74,497,82,23
"56043000302",543,108,362,49,81
"56045951100",742,182,349,65,261
"56045951300",625,230,584,71,115
