"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"56005000200",173,125,261,332,829,718,151,135,58,184,48,21,192
"56005000300",84,134,324,212,437,192,143,343,40,31,86,0,0
"56005000400",106,182,178,129,186,175,198,94,148,59,44,0,84
"56005000500",77,163,190,135,692,790,92,33,14,0,156,0,154
"56005000600",161,277,382,229,202,412,409,147,239,51,18,53,111
"56011950200",84,240,356,221,446,154,50,43,35,94,24,1,0
"56011950300",83,120,207,73,130,155,27,113,50,8,107,86,45
"56015957700",33,151,147,118,203,49,24,72,49,0,2,2,3
"56015957800",103,190,191,136,164,97,172,176,140,34,0,62,202
"56015957900",317,198,194,194,259,108,189,112,105,14,14,29,646
"56015958000",173,152,164,71,268,128,68,94,10,3,14,7,112
"56019955100",96,180,94,52,162,283,18,32,6,1,0,0,1
"56027957200",158,92,133,84,139,128,119,84,138,38,62,13,214
"56031959100",92,217,113,192,69,127,37,43,7,30,73,8,3
"56043000200",174,209,158,117,214,173,88,39,94,9,6,49,56
"56043000301",158,50,143,166,131,45,97,61,108,15,28,0,23
"56043000302",63,109,130,85,181,213,54,136,37,36,12,6,81
"56045951100",99,166,271,87,397,177,36,75,8,15,0,7,261
"56045951300",122,226,173,157,358,240,40,52,0,89,53,0,115
