"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"120310143111",642,19,224,117
"120310143112",1070,52,431,579
"120310143113",1030,51,730,473
"120310145001",472,26,568,280
"120310145002",1031,0,550,525
"120310145003",610,50,404,167
"120310146011",652,0,300,97
"120310146012",798,0,803,294
"120310146013",1068,74,904,410
"120310146031",622,0,541,129
"120310146032",626,0,390,400
"120310146033",767,27,299,266
"120310146041",1336,108,237,518
"120310146042",645,0,533,222
"120310147021",1006,53,503,1268
"120310147022",317,4,265,202
"120310148001",1124,24,524,613
"120310148002",1200,71,323,401
"120310148003",766,101,1524,254
"120310149011",1195,5,663,650
"120310149012",619,74,194,102
"120310149013",664,37,319,264
"120310149021",353,0,143,338
"120310149022",1448,0,492,376
"120310149023",1892,34,706,751
"120310150011",1593,65,558,680
"120310150012",262,0,168,22
"120310150013",553,61,328,317
"120310150014",894,91,370,339
"120310150021",734,29,190,426
"120310150022",307,6,339,231
"120310150023",941,50,678,577
"120310151001",278,55,111,161
"120310151002",567,70,333,367
"120310151003",1324,172,511,1135
"120310152001",870,39,167,109
"120310152002",1000,33,601,400
"120310153001",594,84,413,275
"120310153002",464,127,300,165
"120310153003",572,42,223,115
"120310154001",458,0,442,188
"120310154002",646,95,470,342
"120310155011",1047,0,623,457
"120310155012",934,48,582,208
"120310155021",487,72,228,167
"120310155022",651,62,545,1030
"120310155023",767,54,538,901
"120310156001",780,53,352,368
"120310156002",643,14,285,92
"120310156003",884,5,443,232
