"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"12031014311",119,188,176,273,136,12,279,234,308,106,122,57,48
"12031014500",124,267,309,197,245,102,201,76,30,25,21,23,9
"12031014601",378,260,234,254,614,803,0,0,0,0,17,0,0
"12031014603",219,266,165,419,356,118,46,308,86,27,212,56,0
"12031014604",98,62,85,181,209,110,607,694,474,265,155,148,39
"12031014702",34,76,74,179,204,166,275,28,39,5,24,0,2
"12031014800",90,154,135,217,25,122,690,375,207,125,39,118,1656
"12031014901",117,187,310,165,564,91,372,188,100,61,47,99,0
"12031014902",106,230,380,419,237,357,286,371,297,423,97,170,0
"12031015001",213,212,303,333,307,245,283,375,21,132,128,0,0
"12031015002",155,300,350,129,114,271,58,164,37,59,12,0,1
"12031015100",96,234,390,87,255,95,184,82,68,0,147,4,23
"12031015200",108,80,235,147,65,74,189,294,222,74,24,0,0
"12031015300",44,84,105,67,143,89,383,354,123,148,14,47,0
"12031015400",14,304,83,111,108,25,65,141,60,0,0,4,29
"12031015501",66,175,358,103,116,98,222,142,75,123,63,25,132
"12031015502",29,89,124,18,49,42,747,371,175,39,153,45,103
"12031015600",91,288,130,162,196,307,39,256,104,138,74,23,14
