"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"120310143111",103,86,35,45,0,0,0,40,65,22,0,0,16
"120310143112",23,31,92,12,17,0,78,273,169,122,0,0,16
"120310143113",29,184,186,15,27,19,132,84,20,35,66,0,16
"120310145001",62,147,19,0,40,0,108,35,61,0,67,0,3
"120310145002",84,162,82,72,180,16,18,24,0,0,0,6,3
"120310145003",103,178,26,27,14,32,9,25,0,0,0,23,3
"120310146011",67,265,71,22,21,0,0,0,0,0,0,0,0
"120310146012",202,289,96,96,40,0,0,0,0,0,17,0,0
"120310146013",419,282,233,80,74,15,0,0,0,0,0,0,0
"120310146031",111,213,24,111,0,0,31,52,0,0,0,0,0
"120310146032",168,128,150,51,46,0,0,30,0,0,0,0,0
"120310146033",57,162,19,109,38,0,0,21,46,0,0,14,0
"120310146041",199,129,94,149,0,0,144,192,0,19,0,25,19
"120310146042",84,29,0,32,0,0,478,145,53,31,0,0,20
"120310147021",85,168,5,87,39,75,39,28,188,111,0,0,1
"120310147022",39,74,86,56,19,0,0,5,0,0,0,0,1
"120310148001",141,138,171,80,108,0,143,171,19,0,0,0,552
"120310148002",14,0,0,0,0,0,167,462,106,30,75,0,552
"120310148003",23,31,0,37,0,0,220,82,29,32,18,0,552
"120310149011",49,123,84,51,0,19,25,294,0,82,5,61,0
"120310149012",12,52,37,47,0,0,0,28,47,81,0,0,0
"120310149013",67,169,74,73,52,0,0,0,0,0,0,0,0
"120310149021",37,66,20,0,27,17,0,35,0,58,0,0,0
"120310149022",57,121,214,26,10,0,309,314,85,0,0,0,0
"120310149023",247,60,321,47,41,0,0,233,333,14,0,0,0
"120310150011",257,327,84,79,0,16,110,194,44,0,29,70,0
"120310150012",38,74,39,0,22,0,0,0,0,5,0,0,0
"120310150013",41,34,28,0,0,0,93,183,0,0,124,0,0
"120310150014",195,86,270,0,0,23,33,0,0,0,33,21,0
"120310150021",33,135,42,9,7,18,58,22,0,67,50,0,1
"120310150022",58,206,125,0,0,0,0,0,0,0,0,0,0
"120310150023",157,289,137,6,74,23,0,4,0,129,0,0,0
"120310151001",92,34,5,37,0,0,13,11,35,0,0,6,8
"120310151002",110,42,0,117,0,0,99,19,19,4,76,0,7
"120310151003",79,150,162,137,145,47,24,74,0,0,10,95,8
"120310152001",30,160,3,0,0,0,369,214,0,0,0,0,0
"120310152002",94,174,79,157,4,8,54,88,29,22,0,27,0
"120310153001",93,140,32,0,24,0,67,69,15,0,24,66,0
"120310153002",15,36,10,26,0,0,301,148,41,15,0,0,0
"120310153003",20,69,10,57,0,0,205,118,0,0,0,0,0
"120310154001",100,106,41,11,84,0,0,30,12,0,0,0,15
"120310154002",57,34,128,53,0,31,66,44,93,21,0,4,14
"120310155011",211,145,101,107,24,0,17,110,29,0,8,11,66
"120310155012",26,160,41,49,52,0,279,154,0,25,17,0,66
"120310155021",59,4,57,37,0,0,31,81,27,63,0,0,34
"120310155022",17,44,0,32,33,13,102,39,186,147,33,24,35
"120310155023",43,10,0,0,2,0,277,140,131,72,160,17,34
"120310156001",79,104,25,11,0,21,49,84,67,114,0,10,5
"120310156002",176,164,83,0,10,0,132,9,0,13,0,0,4
"120310156003",115,130,164,64,28,0,110,24,22,0,0,0,5
