"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"12031014311",467,968,565,490,172,835,430,691,590,210
"12031014500",518,587,465,664,101,587,560,503,508,190
"12031014601",533,470,491,1033,428,672,180,505,997,814
"12031014603",841,678,743,782,118,456,546,642,594,327
"12031014604",881,993,573,501,106,499,754,1025,456,431
"12031014702",587,175,287,360,130,942,366,264,307,200
"12031014800",862,1338,486,495,84,474,2025,330,649,182
"12031014901",990,725,658,831,181,735,513,1226,721,412
"12031014902",563,1446,666,692,282,1349,1045,965,1077,362
"12031015001",684,838,685,687,285,757,720,561,790,294
"12031015002",676,501,211,477,368,625,643,133,497,377
"12031015100",880,457,644,451,163,872,734,277,410,196
"12031015200",367,642,185,339,91,144,280,382,640,149
"12031015300",271,82,383,613,191,284,416,456,434,244
"12031015400",257,285,414,274,46,420,186,266,286,207
"12031015501",369,715,496,366,157,403,504,386,420,83
"12031015502",1193,694,497,316,52,943,818,394,453,142
"12031015600",476,496,312,616,150,363,460,502,500,276
