"geoid","MC","NS","SM","NF","GQ"
"12031014311",938,579,365,128,48
"12031014500",737,375,384,124,9
"12031014601",1438,251,720,151,0
"12031014603",956,451,601,270,0
"12031014604",823,533,1587,145,39
"12031014702",514,420,163,7,2
"12031014800",730,476,708,383,1656
"12031014901",871,891,221,318,0
"12031014902",1108,1305,775,185,0
"12031015001",1017,541,767,227,0
"12031015002",704,425,306,214,1
"12031015100",697,407,417,121,23
"12031015200",464,415,547,86,0
"12031015300",406,404,701,90,0
"12031015400",231,422,223,39,29
"12031015501",696,251,533,86,132
"12031015502",277,965,529,110,103
"12031015600",691,320,661,136,14
