"geoid","0","1","2","3+","GQ"
"12031014311",412,892,556,150,48
"12031014500",469,614,383,154,9
"12031014601",871,859,742,88,0
"12031014603",429,983,791,75,0
"12031014604",539,1829,642,78,39
"12031014702",244,550,185,125,2
"12031014800",604,764,879,50,1656
"12031014901",704,698,551,348,0
"12031014902",535,1499,1150,189,0
"12031015001",606,1079,654,213,0
"12031015002",517,561,452,119,1
"12031015100",329,696,403,214,23
"12031015200",357,648,451,56,0
"12031015300",507,791,274,29,0
"12031015400",128,557,222,8,29
"12031015501",307,713,452,94,132
"12031015502",505,1009,300,67,103
"12031015600",443,689,564,112,14
