"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"13039010100",8,125,225,14,106,503,0,12,245,0,0,82,0
"13039010302",72,300,149,0,384,396,0,0,522,0,0,106,0
"13039010403",0,149,538,4,109,354,16,10,476,0,0,59,0
"13039010500",0,0,8,9,182,213,0,20,106,0,0,0,1498
"13039010602",0,123,45,0,29,175,0,11,151,0,0,43,4
"13039990000",0,0,0,0,0,0,0,0,0,0,0,0,0
"13127000101",24,102,163,0,189,112,0,8,28,0,0,0,0
"13127000403",13,104,259,15,177,271,10,0,236,0,0,188,0
"13127000501",63,363,178,0,321,241,28,27,300,0,0,41,228
"13127000503",119,344,107,41,491,270,0,160,417,12,0,43,5
"13127000504",131,181,176,18,441,177,0,228,372,0,0,200,2
"13127000800",118,365,17,20,367,197,0,15,111,0,0,58,150
"13127000900",331,280,379,0,355,180,59,41,250,0,117,30,11
"13127990000",0,0,0,0,0,0,0,0,0,0,0,0,0
"13191110300",51,314,270,6,228,414,0,100,230,0,0,38,63
"13191980000",0,0,0,0,0,0,0,0,0,0,0,0,0
"13191990000",0,0,0,0,0,0,0,0,0,0,0,0,0
