"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"13039010100",187,170,214,266,207,179,25,23,49,0,0,0,0
"13039010302",138,253,205,176,364,185,212,172,98,126,0,0,0
"13039010403",57,95,203,254,390,448,11,69,144,26,11,7,0
"13039010500",0,0,0,0,0,0,52,115,81,202,65,23,1498
"13039010602",39,49,67,58,94,188,13,15,4,21,0,29,4
"13039990000",0,0,0,0,0,0,0,0,0,0,0,0,0
"13127000101",96,40,121,46,88,131,15,57,14,11,0,7,0
"13127000403",83,88,204,270,228,183,38,83,41,0,55,0,0
"13127000501",108,161,190,195,82,186,300,164,148,10,18,0,228
"13127000503",67,166,129,99,37,34,537,364,241,162,120,48,5
"13127000504",115,189,134,140,90,24,377,145,181,484,29,16,2
"13127000800",53,57,206,0,56,0,349,319,115,71,15,27,150
"13127000900",373,190,175,80,120,126,379,232,104,124,119,0,11
"13127990000",0,0,0,0,0,0,0,0,0,0,0,0,0
"13191110300",276,337,195,121,141,156,137,116,99,30,8,35,63
"13191980000",0,0,0,0,0,0,0,0,0,0,0,0,0
"13191990000",0,0,0,0,0,0,0,0,0,0,0,0,0
