"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"130390101001",386,27,243,249
"130390101002",686,18,501,181
"130390103021",223,0,474,129
"130390103022",195,28,135,23
"130390103023",1447,58,589,584
"130390104031",689,11,702,413
"130390105001",2142,92,257,471
"130390106021",739,13,548,209
"131270001011",166,24,309,21
"131270001012",213,0,216,19
"131270004031",675,8,563,469
"131270004032",926,74,365,66
"131270005011",194,0,409,241
"131270005012",873,34,550,120
"131270005013",275,0,159,0
"131270005031",490,23,432,123
"131270005032",485,64,350,109
"131270005033",1132,0,850,382
"131270005041",716,0,288,603
"131270005042",471,0,209,243
"131270005043",952,52,220,146
"131270008001",133,24,100,14
"131270008002",295,136,424,382
"131270008003",358,0,548,121
"131270008004",425,26,714,181
"131270009001",162,16,208,151
"131270009002",191,0,214,0
"131270009003",364,0,237,15
"131270009004",351,10,183,200
"131270009005",665,11,740,269
"131911103001",324,9,356,112
"131911103002",497,16,318,156
"131911103003",235,0,222,92
"131919800001",0,0,0,0
