"geoid","0","1","2","3+","GQ"
"13039010100",358,623,257,82,0
"13039010302",521,780,522,106,0
"13039010403",687,467,502,59,0
"13039010500",8,404,126,0,1498
"13039010602",168,204,162,43,4
"13039990000",0,0,0,0,0
"13127000101",289,301,36,0,0
"13127000403",376,463,246,188,0
"13127000501",604,562,355,41,228
"13127000503",570,802,577,55,5
"13127000504",488,636,600,200,2
"13127000800",500,584,126,58,150
"13127000900",990,535,350,147,11
"13127990000",0,0,0,0,0
"13191110300",635,648,330,38,63
"13191980000",0,0,0,0,0
"13191990000",0,0,0,0,0
