"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"13039010100",793,690,721,510,444
"13039010302",1436,1201,1127,599,523
"13039010403",1435,876,697,407,1371
"13039010500",739,417,1266,199,308
"13039010602",344,377,380,191,285
"13039990000",0,0,0,0,0
"13127000101",33,225,142,218,259
"13127000403",865,672,897,391,450
"13127000501",370,1143,617,281,459
"13127000503",1032,1644,966,366,289
"13127000504",1641,1565,604,484,399
"13127000800",1146,1669,626,165,147
"13127000900",1075,1306,874,435,356
"13127990000",0,0,0,0,0
"13191110300",776,1112,662,379,430
"13191980000",0,0,0,0,0
"13191990000",0,0,0,0,0
