"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"13039010100",301,247,271,513,239,252,316,333,550,192
"13039010302",402,676,410,452,240,569,429,445,639,410
"13039010403",467,475,399,593,408,475,530,309,575,461
"13039010500",344,1676,269,18,0,217,304,111,23,0
"13039010602",110,140,72,199,66,133,309,150,261,69
"13039990000",0,0,0,0,0,0,0,0,0,0
"13127000101",5,29,93,169,137,51,15,46,263,160
"13127000403",334,306,198,532,169,307,247,283,496,274
"13127000501",390,326,249,360,264,158,222,514,566,403
"13127000503",233,630,341,455,208,443,868,595,554,113
"13127000504",596,413,492,373,79,446,750,279,678,157
"13127000800",517,503,273,501,52,371,552,235,670,207
"13127000900",204,494,268,395,284,478,515,367,595,387
"13127990000",0,0,0,0,0,0,0,0,0,0
"13191110300",260,309,340,500,289,244,188,263,663,264
"13191980000",0,0,0,0,0,0,0,0,0,0
"13191990000",0,0,0,0,0,0,0,0,0,0
