"geoid","MC","NS","SM","NF","GQ"
"13039010100",881,166,249,24,0
"13039010302",830,439,523,137,0
"13039010403",1161,228,295,31,0
"13039010500",333,48,157,0,1498
"13039010602",319,67,159,32,4
"13039990000",0,0,0,0,0
"13127000101",253,40,321,12,0
"13127000403",766,160,295,52,0
"13127000501",470,290,725,77,228
"13127000503",591,380,769,264,5
"13127000504",613,351,832,128,2
"13127000800",414,519,266,69,150
"13127000900",424,444,1123,31,11
"13127990000",0,0,0,0,0
"13191110300",627,509,445,70,63
"13191980000",0,0,0,0,0
"13191990000",0,0,0,0,0
