"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"48157670101",204,218,237,305,149,140,44,143,188,178,35,133,0
"48157670102",166,172,172,98,139,53,13,71,58,145,18,55,0
"48157670300",169,191,183,71,129,187,104,143,50,48,31,0,0
"48157670400",88,177,251,238,258,131,92,88,130,21,104,68,23
"48157670500",32,183,345,150,342,376,70,123,10,53,26,23,14
"48157670602",158,110,119,18,37,53,102,31,12,5,42,0,0
"48157671001",171,126,432,234,501,461,57,21,59,0,84,0,96
"48157671002",243,185,414,357,242,353,185,28,73,35,68,84,8
"48157671200",88,133,269,310,330,210,10,230,37,67,145,86,36
"48157671501",357,195,98,329,287,827,149,331,0,38,82,0,260
"48157671502",45,10,21,124,188,120,0,0,36,0,11,0,0
