"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"481576701011",505,15,308,238
"481576701012",1042,121,522,327
"481576701013",354,9,229,150
"481576701014",1074,84,826,554
"481576701021",296,18,98,118
"481576701022",1235,47,945,374
"481576703001",533,53,557,156
"481576703002",908,18,883,550
"481576704001",743,49,246,209
"481576704002",505,96,379,411
"481576704003",1086,58,432,198
"481576705001",545,37,285,304
"481576705002",1019,21,285,519
"481576706021",794,119,630,384
"481576710011",834,0,865,249
"481576710012",917,89,466,106
"481576710013",377,28,392,250
"481576710014",207,9,251,24
"481576710021",1093,36,545,440
"481576710022",697,113,333,190
"481576710023",955,90,511,361
"481576710024",187,0,438,16
"481576712001",1169,51,551,280
"481576712002",679,20,282,172
"481576715011",649,0,713,104
"481576715012",804,15,461,605
"481576715013",1046,15,839,303
"481576715014",874,74,634,138
"481576715021",894,37,408,179
