"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"48157670101",717,915,717,503,234,685,858,699,641,389
"48157670102",424,291,407,259,152,190,395,277,571,165
"48157670300",386,265,243,350,225,559,339,549,506,236
"48157670400",549,360,444,391,225,592,374,454,817,206
"48157670500",710,789,341,696,182,448,782,400,716,228
"48157670602",258,295,133,291,46,213,150,152,300,89
"48157671001",543,366,404,433,496,283,319,520,862,838
"48157671002",531,749,610,510,526,559,441,896,715,468
"48157671200",779,570,681,787,138,560,485,725,868,244
"48157671501",520,682,503,946,443,831,718,698,1315,618
"48157671502",83,177,112,293,86,137,135,96,314,85
