"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"48157670101",24,310,135,0,221,336,17,16,598,0,0,317,0
"48157670102",29,95,149,73,118,290,37,58,200,0,33,78,0
"48157670300",43,209,207,0,190,296,0,43,144,0,0,174,0
"48157670400",0,218,184,12,183,406,0,37,446,0,0,160,23
"48157670500",13,81,144,47,366,437,2,0,449,0,16,178,14
"48157670602",0,136,119,0,100,145,0,6,144,0,0,37,0
"48157671001",137,235,291,19,397,395,0,63,528,0,13,68,96
"48157671002",91,269,249,0,457,370,0,49,530,0,32,220,8
"48157671200",10,69,82,0,226,498,26,51,638,0,0,315,36
"48157671501",0,689,135,94,174,478,54,183,749,0,0,137,260
"48157671502",0,38,77,25,38,84,0,22,146,0,0,125,0
