"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"06037900102",83,217,142,59,60
"06037900103",3751,1639,1067,399,369
"06037900104",3547,1460,913,606,460
"06037901209",146,319,127,91,145
"06037901210",578,364,233,233,467
"06037910002",3156,1443,1557,609,636
"06037910804",591,470,587,225,881
"06037910808",1636,729,698,256,889
"06037910810",1113,431,341,278,789
"06037911001",918,941,304,398,545
"06037920015",1536,1190,404,396,2175
"06037920016",2280,1013,446,458,1381
"06037920020",1737,1407,1063,675,1319
"06037920102",1772,995,823,581,672
"06037920104",1482,436,280,358,728
"06037920106",1780,600,684,379,613
"06037920116",1665,780,682,428,1334
"06037920118",2257,901,735,710,1675
"06037920119",712,315,132,88,686
"06037920200",0,381,172,45,19
"06037920303",402,191,241,193,641
"06037920326",2404,1116,1105,500,1990
"06037920338",2566,734,384,367,1873
"06037920339",4487,1042,583,670,3331
"06037980003",0,0,0,0,0
