"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"06037900102",20,94,24,132,91,32,30,41,80,50
"06037900103",1074,579,523,779,213,1252,595,587,713,185
"06037900104",1145,713,736,630,235,1063,621,537,675,196
"06037901209",75,34,119,146,132,31,34,103,100,111
"06037901210",175,210,154,198,108,172,278,148,238,121
"06037910002",742,731,801,988,111,1281,696,765,974,199
"06037910804",185,341,231,675,212,276,239,243,449,120
"06037910808",314,468,582,485,128,621,362,422,353,276
"06037910810",451,383,341,406,40,309,216,294,404,70
"06037911001",171,203,179,555,293,372,328,204,475,425
"06037920015",718,484,357,1323,163,551,613,591,1198,121
"06037920016",684,428,543,543,303,1000,369,549,735,191
"06037920020",412,739,434,752,308,826,589,684,965,324
"06037920102",674,469,602,576,213,553,485,471,606,109
"06037920104",607,154,389,371,57,379,245,341,342,102
"06037920106",544,460,457,362,158,520,282,396,437,100
"06037920116",449,616,386,639,196,538,449,467,632,234
"06037920118",680,492,554,778,212,911,650,630,864,248
"06037920119",279,211,120,276,66,241,122,242,267,78
"06037920200",0,2371,886,314,33,0,0,0,0,0
"06037920303",121,189,168,316,59,135,216,207,237,56
"06037920326",663,576,843,1039,201,849,583,592,1172,453
"06037920338",814,313,495,884,248,884,356,516,842,242
"06037920339",1456,964,1001,1354,212,1701,504,1601,1059,165
"06037980003",0,0,0,0,0,0,0,0,0,0
