"geoid","0","1","2","3+","GQ"
"06037900102",112,104,52,4,33
"06037900103",603,770,278,126,12
"06037900104",544,610,329,249,19
"06037901209",236,159,46,6,21
"06037901210",162,233,238,32,0
"06037910002",364,683,678,325,0
"06037910804",206,432,271,143,0
"06037910808",129,541,309,173,2
"06037910810",172,205,394,65,0
"06037911001",475,631,191,9,36
"06037920015",157,905,681,248,7
"06037920016",241,620,604,131,0
"06037920020",380,685,622,255,19
"06037920102",438,663,418,151,123
"06037920104",162,234,401,69,0
"06037920106",142,367,299,173,0
"06037920116",293,359,692,204,0
"06037920118",276,585,799,191,0
"06037920119",48,138,248,107,0
"06037920200",0,0,0,0,3604
"06037920303",74,268,343,25,0
"06037920326",556,1184,660,135,0
"06037920338",246,790,571,131,0
"06037920339",415,1702,1059,104,0
"06037980003",0,0,0,0,0
