"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"06037900102",5,65,42,0,70,34,0,0,52,0,0,4,33
"06037900103",84,283,236,8,197,565,0,43,235,0,5,121,12
"06037900104",0,189,355,0,173,437,14,41,274,17,0,232,19
"06037901209",0,134,102,0,17,142,0,0,46,0,0,6,21
"06037901210",0,91,71,0,36,197,8,6,224,0,0,32,0
"06037910002",17,120,227,0,212,471,0,148,530,0,0,325,0
"06037910804",0,30,176,0,79,353,0,11,260,0,0,143,0
"06037910808",0,37,92,30,32,479,18,6,285,0,0,173,2
"06037910810",0,85,87,0,31,174,5,32,357,0,0,65,0
"06037911001",35,231,209,38,90,503,0,24,167,0,0,9,36
"06037920015",0,58,99,0,96,809,0,67,614,0,0,248,7
"06037920016",40,67,134,0,187,433,0,13,591,0,0,131,0
"06037920020",0,122,258,34,132,519,24,87,511,21,22,212,19
"06037920102",81,240,117,10,346,307,0,69,349,0,0,151,123
"06037920104",17,34,111,0,70,164,0,61,340,0,0,69,0
"06037920106",4,54,84,0,22,345,0,11,288,0,0,173,0
"06037920116",38,42,213,14,77,268,0,9,683,0,0,204,0
"06037920118",0,64,212,0,123,462,13,27,759,0,3,188,0
"06037920119",0,18,30,0,33,105,0,0,248,4,0,103,0
"06037920200",0,0,0,0,0,0,0,0,0,0,0,0,3604
"06037920303",0,13,61,0,159,109,0,19,324,0,0,25,0
"06037920326",59,175,322,55,518,611,17,13,630,0,0,135,0
"06037920338",8,93,145,0,117,673,0,40,531,0,0,131,0
"06037920339",18,181,216,0,570,1132,0,71,988,0,0,104,0
"06037980003",0,0,0,0,0,0,0,0,0,0,0,0,0
