"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"06037900102",45,61,12,26,37,11,43,0,32,0,0,5,33
"06037900103",147,265,324,185,216,102,204,140,127,8,46,13,12
"06037900104",189,200,180,168,397,148,76,119,196,36,0,23,19
"06037901209",70,41,84,19,87,24,57,34,7,0,11,13,21
"06037901210",56,52,56,72,128,257,20,6,8,0,0,10,0
"06037910002",169,126,445,270,191,355,60,199,111,30,84,10,0
"06037910804",76,42,77,43,232,538,11,0,0,18,0,15,0
"06037910808",7,203,84,55,339,439,0,0,8,0,0,17,2
"06037910810",22,34,37,76,161,449,0,34,0,23,0,0,0
"06037911001",185,178,115,174,205,260,108,0,27,24,30,0,36
"06037920015",52,110,62,48,370,1282,0,5,0,0,52,10,7
"06037920016",69,39,96,125,140,779,7,153,34,10,16,128,0
"06037920020",68,116,235,370,321,575,0,0,122,66,0,69,19
"06037920102",42,31,84,45,386,305,207,255,193,53,52,17,123
"06037920104",26,43,92,59,185,393,0,0,19,49,0,0,0
"06037920106",69,40,83,34,252,368,0,14,59,44,9,9,0
"06037920116",143,37,110,172,343,639,0,0,9,52,34,9,0
"06037920118",46,87,119,196,423,825,14,25,9,0,37,70,0
"06037920119",16,20,18,13,64,395,0,4,0,0,0,11,0
"06037920200",0,0,0,0,0,0,0,0,0,0,0,0,3604
"06037920303",0,16,4,12,73,213,21,47,31,86,102,105,0
"06037920326",17,88,57,133,196,798,76,256,199,195,190,330,0
"06037920338",96,14,60,68,218,1078,0,13,36,42,18,95,0
"06037920339",67,125,44,37,438,1394,195,18,162,138,274,388,0
"06037980003",0,0,0,0,0,0,0,0,0,0,0,0,0
