"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"060379001021",68,88,11,11,10,4,43,33,0,0,0,4,33
"060379001031",98,97,102,23,0,33,43,42,43,33,11,68,4
"060379001032",61,57,35,61,64,90,28,20,51,40,15,35,4
"060379001033",88,185,27,43,160,15,49,0,12,7,0,41,4
"060379001041",21,112,50,147,88,75,11,0,44,0,0,0,6
"060379001042",69,76,76,86,134,16,0,23,0,76,52,20,6
"060379001043",72,72,6,96,31,55,9,115,50,6,13,31,7
"060379012091",129,128,36,16,11,5,68,30,11,6,7,0,21
"060379012101",128,235,127,69,36,26,11,15,18,0,0,0,0
"060379100021",158,127,171,149,46,117,20,6,0,0,14,120,0
"060379100022",21,283,0,113,0,105,0,113,0,22,71,10,0
"060379100023",35,117,0,103,11,0,0,16,102,0,0,0,0
"060379108041",162,300,263,186,74,23,18,11,0,15,0,0,0
"060379108081",60,176,213,85,139,13,0,8,6,0,0,0,1
"060379108082",52,89,29,90,95,86,0,0,0,0,11,0,1
"060379108101",59,186,193,124,138,79,51,0,0,6,0,0,0
"060379110011",45,45,63,9,0,42,31,24,30,20,0,0,12
"060379110012",82,59,41,11,25,9,57,0,0,0,0,0,12
"060379110013",241,315,48,47,8,27,0,0,0,0,0,27,12
"060379200151",81,553,261,114,27,37,5,0,10,42,0,0,4
"060379200152",39,178,270,231,71,62,0,0,10,0,0,0,3
"060379200161",97,77,82,44,0,0,30,61,51,66,0,0,0
"060379200162",52,226,123,257,150,140,0,140,0,0,0,0,0
"060379200201",66,239,20,84,45,23,0,77,0,66,0,0,6
"060379200202",90,218,230,97,58,40,0,0,0,0,0,0,6
"060379200203",78,84,81,154,35,43,18,80,0,0,16,0,7
"060379201021",0,15,21,7,0,0,248,11,83,38,22,24,41
"060379201022",19,7,58,64,0,0,0,0,28,0,0,0,41
"060379201023",120,125,134,192,92,39,141,106,29,47,0,0,41
"060379201041",98,147,119,239,125,70,23,18,0,19,0,8,0
"060379201061",99,209,96,174,106,162,9,31,73,0,22,0,0
"060379201161",0,29,19,15,9,13,10,34,0,0,0,0,0
"060379201162",85,245,100,137,55,33,14,37,9,0,0,0,0
"060379201181",61,152,147,107,41,20,0,30,25,0,17,0,0
"060379201182",16,173,50,89,54,44,0,25,9,0,0,0,0
"060379201191",42,137,102,132,83,30,0,15,0,0,0,0,0
"060379202001",0,0,0,0,0,0,0,0,0,0,0,0,3604
"060379203031",29,143,60,63,16,7,110,163,78,41,0,0,0
"060379203261",41,141,367,140,76,12,181,226,70,53,56,0,0
"060379203262",13,0,0,0,0,0,108,260,50,0,16,11,0
"060379203381",22,109,125,87,12,7,0,5,0,0,0,0,0
"060379203391",19,216,198,131,108,35,329,232,66,201,17,22,0
"060379800031",0,0,0,0,0,0,0,0,0,0,0,0,0
