"geoid","0","1","2","3+","GQ"
"56007967600",118,236,181,28,460
"56007967700",615,601,458,96,51
"56007967800",429,774,524,0,50
"56007968000",488,540,289,25,25
"56007968100",185,330,163,36,0
"56009956400",461,693,739,112,86
"56009956500",407,416,373,86,0
"56009956600",429,410,374,133,0
"56009956700",320,478,300,41,0
"56025000200",504,1009,198,61,153
"56025000300",586,777,410,141,62
"56025000400",562,658,598,86,0
"56025000501",907,1135,788,71,109
"56025000502",242,576,256,67,8
"56025000700",267,571,386,47,1
"56025000800",480,765,385,48,0
"56025000901",585,940,430,135,3
"56025000902",398,637,335,131,463
"56025001000",511,524,615,141,207
"56025001100",368,737,229,13,2
"56025001200",153,433,136,36,123
"56025001401",524,845,771,138,3
"56025001602",595,1113,1191,185,0
"56025001603",475,479,500,143,0
"56025001700",315,775,530,201,0
