"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"56007967600",2,59,57,0,55,181,3,3,175,6,0,22,460
"56007967700",117,102,396,17,257,327,0,56,402,0,0,96,51
"56007967800",112,117,200,54,298,422,0,22,502,0,0,0,50
"56007968000",15,179,294,0,94,446,0,0,289,0,0,25,25
"56007968100",17,80,88,0,141,189,29,47,87,0,0,36,0
"56009956400",130,190,141,112,229,352,0,189,550,0,0,112,86
"56009956500",42,136,229,12,190,214,0,6,367,0,0,86,0
"56009956600",2,165,262,2,49,359,0,14,360,0,0,133,0
"56009956700",0,177,143,0,131,347,0,0,300,0,0,41,0
"56025000200",169,294,41,69,550,390,0,113,85,0,0,61,153
"56025000300",107,321,158,95,328,354,0,90,320,0,0,141,62
"56025000400",69,248,245,0,410,248,0,38,560,0,0,86,0
"56025000501",105,461,341,71,515,549,11,34,743,0,0,71,109
"56025000502",79,75,88,29,293,254,0,39,217,0,2,65,8
"56025000700",0,128,139,0,433,138,0,0,386,0,0,47,1
"56025000800",114,206,160,0,466,299,0,68,317,0,0,48,0
"56025000901",126,222,237,0,500,440,11,76,343,0,0,135,3
"56025000902",13,143,242,96,167,374,0,10,325,0,0,131,463
"56025001000",11,152,348,0,216,308,0,4,611,0,0,141,207
"56025001100",0,182,186,11,377,349,0,21,208,0,0,13,2
"56025001200",21,61,71,20,220,193,0,73,63,0,0,36,123
"56025001401",12,174,338,50,205,590,24,94,653,0,0,138,3
"56025001602",38,265,292,0,279,834,31,70,1090,0,0,185,0
"56025001603",14,216,245,17,113,349,0,47,453,0,0,143,0
"56025001700",25,40,250,0,247,528,8,42,480,0,0,201,0
