"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"56007967600",424,394,300,253,56,176,175,81,148,89
"56007967700",502,355,522,496,202,388,321,317,490,286
"56007967800",329,612,317,427,188,490,397,493,354,238
"56007968000",302,193,280,506,289,309,212,307,397,322
"56007968100",204,181,128,281,64,120,152,118,233,45
"56009956400",577,476,403,585,246,541,421,440,584,227
"56009956500",420,233,355,187,248,518,313,370,305,156
"56009956600",300,306,277,593,169,211,202,277,571,242
"56009956700",388,357,253,376,163,343,228,345,365,191
"56025000200",332,651,246,443,137,257,413,267,467,143
"56025000300",368,535,560,299,273,464,659,497,299,246
"56025000400",370,378,290,732,227,240,412,249,534,304
"56025000501",600,770,546,456,375,601,766,578,580,589
"56025000502",427,354,275,213,98,429,399,251,241,126
"56025000700",239,312,268,288,201,297,266,272,408,200
"56025000800",537,428,266,345,120,561,336,446,323,250
"56025000901",847,558,447,496,311,579,567,433,420,340
"56025000902",491,581,247,449,330,311,405,324,493,289
"56025001000",731,382,515,563,261,582,471,471,622,248
"56025001100",529,72,374,350,168,387,312,354,475,137
"56025001200",203,211,171,313,83,220,225,170,321,71
"56025001401",732,426,664,1038,302,612,421,570,719,308
"56025001602",813,891,1015,711,223,1049,740,906,970,375
"56025001603",434,336,367,619,204,346,268,383,592,342
"56025001700",646,414,625,557,219,757,417,566,493,181
