"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"560079676001",237,2,94,227
"560079676002",516,0,675,345
"560079677001",760,0,351,217
"560079677002",126,0,152,43
"560079677003",283,0,336,162
"560079677004",702,0,358,389
"560079678001",405,0,285,76
"560079678002",191,7,198,101
"560079678003",556,87,473,267
"560079678004",569,176,176,278
"560079680001",329,0,461,197
"560079680002",455,0,313,270
"560079680003",276,0,129,40
"560079681001",512,51,331,149
"560079681002",244,13,108,118
"560099564001",240,33,221,124
"560099564002",631,44,363,403
"560099564003",353,0,86,81
"560099564004",1168,100,282,371
"560099565001",809,8,474,461
"560099565002",648,11,293,401
"560099566001",581,0,348,239
"560099566002",499,0,400,126
"560099566003",561,40,307,47
"560099567001",532,61,279,119
"560099567002",886,0,591,541
"560250002001",357,0,162,71
"560250002002",606,83,330,347
"560250002003",301,12,93,21
"560250003001",634,19,270,94
"560250003002",1067,44,613,453
"560250003003",493,0,322,191
"560250004001",431,45,200,55
"560250004002",411,0,153,85
"560250004003",593,24,294,151
"560250004004",752,18,340,184
"560250005011",617,70,545,357
"560250005012",599,15,245,142
"560250005013",535,56,385,321
"560250005021",750,90,401,616
"560250005022",592,0,229,135
"560250007001",203,21,154,41
"560250007002",795,34,95,102
"560250007003",583,8,366,349
"560250008001",398,7,140,151
"560250008002",303,67,202,407
"560250008003",957,49,479,452
"560250009011",719,19,260,122
"560250009012",731,23,440,640
"560250009013",902,15,649,478
"560250009021",555,0,323,289
"560250009022",842,35,641,251
"560250009023",453,20,341,170
"560250010001",1037,144,496,655
"560250010002",1232,0,738,544
"560250011001",371,75,418,256
"560250011002",877,71,547,543
"560250012001",367,0,443,149
"560250012002",557,24,203,245
"560250014011",916,91,350,147
"560250014012",1238,45,648,733
"560250016021",1351,97,272,399
"560250016022",293,15,264,88
"560250016031",555,42,601,205
"560250016032",1354,31,593,510
"560250017001",528,0,330,95
"560250017002",786,0,315,383
