"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"560079676001",34,63,5,13,19,21,11,7,2,2,0,0,230
"560079676002",63,122,46,33,33,0,19,41,22,6,0,1,230
"560079677001",38,320,35,22,41,6,0,44,23,0,0,0,13
"560079677002",21,57,10,0,0,16,18,0,0,0,0,0,13
"560079677003",158,54,12,64,0,11,85,11,0,0,0,0,13
"560079677004",100,230,55,15,18,5,139,44,111,0,0,7,12
"560079678001",99,154,62,38,0,0,0,0,0,0,0,0,13
"560079678002",66,31,49,51,0,0,0,0,28,0,0,0,12
"560079678003",59,132,52,0,16,105,116,61,0,28,0,0,12
"560079678004",87,53,39,28,0,89,171,113,0,0,0,0,13
"560079680001",137,133,10,0,59,0,0,13,2,8,0,0,8
"560079680002",87,162,8,28,50,0,11,56,11,0,0,0,9
"560079680003",13,52,111,0,15,0,0,0,0,0,0,0,8
"560079681001",103,160,67,36,9,0,27,1,101,0,0,0,0
"560079681002",62,55,4,7,8,0,25,19,0,0,22,8,0
"560099564001",40,142,17,0,0,18,16,0,27,0,0,0,22
"560099564002",88,164,70,118,0,26,177,33,0,0,0,0,21
"560099564003",148,43,25,37,0,0,32,4,0,0,0,0,22
"560099564004",117,105,254,35,117,2,52,56,22,20,0,0,21
"560099565001",122,199,135,13,19,31,67,36,12,89,0,0,0
"560099565002",153,82,46,16,9,5,64,96,37,17,10,24,0
"560099566001",116,185,36,73,30,5,8,3,0,0,0,0,0
"560099566002",166,87,13,66,0,48,0,9,0,0,0,0,0
"560099566003",37,315,0,11,28,0,20,90,0,0,0,0,0
"560099567001",108,60,46,0,21,10,95,72,0,0,0,4,0
"560099567002",28,270,94,117,70,26,75,16,0,27,0,0,0
"560250002001",49,7,131,0,3,0,118,0,0,34,0,0,51
"560250002002",178,111,40,22,59,0,151,20,68,7,0,0,51
"560250002003",0,0,0,10,0,0,285,36,6,0,0,0,51
"560250003001",152,62,56,64,0,0,89,57,14,0,0,0,21
"560250003002",170,79,112,63,0,87,134,201,0,32,0,0,20
"560250003003",69,35,73,26,0,8,251,30,50,0,0,0,21
"560250004001",154,118,30,27,0,0,28,42,0,11,0,0,0
"560250004002",232,81,0,0,29,0,13,42,0,0,0,0,0
"560250004003",76,150,9,39,38,0,56,56,31,0,0,0,0
"560250004004",231,261,61,42,0,0,7,12,0,28,0,0,0
"560250005011",236,111,60,26,18,18,67,19,40,33,56,0,36
"560250005012",41,81,85,29,0,0,126,90,0,35,0,0,36
"560250005013",223,16,11,15,0,0,237,154,0,77,0,0,37
"560250005021",49,128,61,32,0,32,111,58,182,0,42,0,4
"560250005022",127,103,33,23,29,0,0,97,32,2,0,0,4
"560250007001",0,56,29,27,0,0,107,0,0,0,0,0,0
"560250007002",157,65,0,64,0,6,77,101,14,0,0,0,1
"560250007003",146,137,86,54,25,0,65,15,0,0,40,0,0
"560250008001",209,99,5,16,0,0,0,47,25,0,0,0,0
"560250008002",89,77,6,23,82,14,10,0,67,0,0,0,0
"560250008003",250,173,111,93,0,18,87,113,42,22,0,0,0
"560250009011",172,186,45,44,0,0,27,28,37,0,0,0,1
"560250009012",238,118,53,51,53,34,59,0,14,0,0,63,1
"560250009013",92,188,48,96,16,12,224,24,68,27,73,0,1
"560250009021",72,200,24,6,37,8,105,96,0,0,0,0,155
"560250009022",69,153,14,67,17,15,34,88,7,29,11,0,154
"560250009023",99,197,49,19,22,6,0,53,0,0,0,4,154
"560250010001",210,270,80,96,65,61,10,14,13,14,6,11,103
"560250010002",151,335,151,124,32,14,56,55,8,15,0,0,104
"560250011001",49,253,64,20,26,0,77,0,0,22,0,0,1
"560250011002",216,171,168,80,34,22,77,19,11,0,38,0,1
"560250012001",41,100,64,11,6,0,57,0,24,0,0,0,62
"560250012002",72,162,13,50,0,0,70,13,39,5,31,0,61
"560250014011",127,320,26,42,73,0,106,6,3,0,0,0,2
"560250014012",141,314,171,114,82,51,0,33,0,0,0,0,1
"560250016021",129,218,107,68,30,16,51,29,131,16,0,0,0
"560250016022",65,85,0,22,0,0,13,0,18,85,0,0,0
"560250016031",177,331,65,51,13,13,0,7,32,0,0,0,0
"560250016032",173,315,143,133,40,57,30,17,0,0,0,0,0
"560250017001",136,119,117,19,19,0,0,0,0,0,0,0,0
"560250017002",140,196,87,34,46,0,0,0,23,17,0,18,0
