"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"56007967600",771,473,302,315,162
"56007967700",1104,952,852,518,430
"56007967800",885,749,756,327,754
"56007968000",684,579,637,388,743
"56007968100",273,295,395,159,226
"56009956400",1341,943,1068,603,849
"56009956500",1076,776,479,499,420
"56009956600",543,901,635,405,574
"56009956700",808,783,471,545,383
"56025000200",800,1363,796,139,222
"56025000300",948,1162,1006,271,737
"56025000400",521,1016,1065,611,389
"56025000501",1424,1319,1001,1153,1074
"56025000502",1051,700,485,418,292
"56025000700",591,855,489,546,344
"56025000800",1375,639,777,471,443
"56025000901",1601,1335,895,469,820
"56025000902",918,938,645,594,734
"56025001000",1580,1106,866,543,797
"56025001100",1050,643,702,269,367
"56025001200",545,619,483,206,124
"56025001401",1466,1233,991,741,1324
"56025001602",2279,1293,1561,723,1947
"56025001603",956,721,585,632,1028
"56025001700",1651,992,636,677,1106
