"geoid","MC","NS","SM","NF","GQ"
"56007967600",330,79,127,27,460
"56007967700",803,319,559,89,51
"56007967800",805,282,598,42,50
"56007968000",724,113,430,75,25
"56007968100",390,99,217,8,0
"56009956400",869,211,670,255,86
"56009956500",500,291,406,85,0
"56009956600",798,169,347,32,0
"56009956700",568,193,306,72,0
"56025000200",312,300,1012,148,153
"56025000300",469,400,865,180,62
"56025000400",590,267,797,250,0
"56025000501",1151,262,1289,199,109
"56025000502",439,344,287,71,8
"56025000700",450,255,552,14,1
"56025000800",465,424,645,144,0
"56025000901",801,334,812,143,3
"56025000902",873,187,379,62,463
"56025001000",1070,272,427,22,207
"56025001100",575,263,419,90,2
"56025001200",292,163,240,63,123
"56025001401",1410,254,553,61,3
"56025001602",1836,343,797,108,0
"56025001603",1109,81,380,27,0
"56025001700",1121,194,475,31,0
