"geoid","Owned.<25K","Owned.26-50K","Owned.51-75K","Owned.76-100K","Owned.101-150K","Owned.>150K","Rented.<25K","Rented.26-50K","Rented.51-75K","Rented.76-100K","Rented.101-150K","Rented.>150K","GQ.GQ"
"56007967600",35,46,158,79,85,49,2,41,25,9,34,0,460
"56007967700",252,268,238,84,152,294,215,30,106,72,59,0,51
"56007967800",109,125,177,192,282,325,144,214,68,0,12,79,50
"56007968000",147,130,176,201,273,276,7,15,97,12,0,8,25
"56007968100",82,98,52,89,110,80,18,64,71,45,5,0,0
"56009956400",117,239,185,99,475,451,110,158,38,0,113,20,86
"56009956500",97,110,74,202,172,175,170,144,69,4,65,0,0
"56009956600",156,242,117,212,195,294,8,0,32,74,0,16,0
"56009956700",2,98,267,127,248,108,123,93,59,0,14,0,0
"56025000200",194,194,198,42,50,52,423,455,50,7,52,55,153
"56025000300",139,110,146,201,226,234,364,234,150,22,88,0,62
"56025000400",259,299,466,186,245,123,12,170,91,15,27,11,0
"56025000501",150,54,413,194,280,415,197,364,511,79,222,22,109
"56025000502",31,80,174,80,145,107,250,97,65,44,54,14,8
"56025000700",23,191,294,104,134,106,87,186,132,0,14,0,1
"56025000800",139,258,263,324,236,45,99,174,109,10,21,0,0
"56025000901",112,422,62,252,323,275,266,130,109,102,37,0,3
"56025000902",36,124,139,185,273,317,156,125,58,44,11,33,463
"56025001000",218,170,289,286,373,253,45,24,86,21,11,15,207
"56025001100",137,274,186,172,183,151,118,74,22,19,0,11,2
"56025001200",74,142,136,58,92,17,62,132,18,16,5,6,123
"56025001401",58,320,419,303,630,340,1,79,76,50,2,0,3
"56025001602",153,161,266,425,339,1051,51,275,108,141,114,0,0
"56025001603",67,127,333,91,378,515,22,8,46,10,0,0,0
"56025001700",43,224,288,196,380,522,0,0,27,17,108,16,0
