"geoid","0","1","2","3+","GQ"
"04013107102",358,740,446,175,1
"04013107201",92,78,61,6,5463
"04013109001",201,792,474,202,95
"04013109101",160,335,236,205,2
"04013109102",248,466,565,358,0
"04013109200",269,720,330,233,0
"04013109300",171,245,356,394,5
"04013109900",280,696,697,278,7
"04013110001",185,258,237,290,0
"04013110002",100,610,527,142,0
"04013110100",223,562,643,287,0
"04013112100",79,340,333,305,2
"04013112201",164,363,578,203,16
"04013112202",557,433,278,179,113
"04013112301",399,770,521,307,0
"04013112302",403,699,751,336,0
"04013112401",204,860,405,233,0
"04013112402",145,401,581,192,0
"04013112507",50,654,284,43,0
"04013112601",322,456,296,88,0
"04013116900",31,233,209,111,463
