"geoid","Owned.1","Owned.2","Owned.3","Owned.4","Owned.5","Owned.6+","Rented.1","Rented.2","Rented.3","Rented.4","Rented.5","Rented.6+","GQ.GQ"
"040131071021",79,5,0,52,22,0,79,0,81,55,0,16,0
"040131071022",45,2,60,112,67,69,116,18,89,89,74,11,0
"040131071023",15,10,96,0,0,2,133,110,140,68,0,4,1
"040131072011",0,0,0,0,0,0,17,0,0,0,0,0,2732
"040131072012",0,4,0,0,0,9,0,74,28,19,66,20,2731
"040131090011",45,86,13,20,24,11,69,69,83,115,49,39,47
"040131090012",0,0,0,0,0,0,164,263,371,39,37,172,48
"040131091011",51,34,28,72,92,60,12,46,24,20,0,16,1
"040131091012",63,67,56,63,32,52,6,14,4,22,19,83,1
"040131091021",0,7,54,29,21,5,35,100,0,28,0,131,0
"040131091022",20,55,103,178,330,57,0,8,37,39,75,80,0
"040131091023",59,32,0,0,41,14,45,38,0,0,16,0,0
"040131092001",0,0,0,0,0,0,0,0,0,0,0,0,0
"040131092002",53,52,53,50,0,53,132,140,0,0,0,50,0
"040131092003",11,45,40,2,0,44,137,46,89,0,84,54,0
"040131093001",13,60,30,2,28,145,16,0,98,0,35,0,2
"040131093002",43,83,23,63,144,65,0,7,0,33,0,0,1
"040131093003",12,13,105,0,57,52,39,0,0,0,0,0,2
"040131099001",41,23,0,82,77,37,0,40,0,68,0,36,2
"040131099002",48,90,122,87,130,60,0,14,32,67,77,0,2
"040131099003",96,40,12,69,14,99,67,68,28,39,15,0,1
"040131099004",35,10,65,0,91,59,0,0,0,0,0,13,2
"040131100011",72,22,63,102,116,14,0,27,0,0,0,138,0
"040131100012",39,50,17,91,90,93,0,20,0,0,16,0,0
"040131100021",48,57,51,94,10,60,0,26,15,0,0,47,0
"040131100022",84,159,97,69,238,23,102,0,42,53,88,16,0
"040131101001",13,10,0,0,36,0,71,74,48,0,19,36,0
"040131101002",0,33,0,0,35,14,111,60,50,43,65,0,0
"040131101003",37,68,41,27,67,130,0,14,0,85,36,127,0
"040131101004",77,0,68,38,53,16,45,0,0,52,16,0,0
"040131121001",65,127,16,56,69,43,0,22,32,0,37,0,1
"040131121002",0,106,15,27,9,22,39,23,0,7,36,5,0
"040131121003",0,0,12,68,40,43,31,31,14,12,0,50,1
"040131122011",86,131,92,104,102,12,16,61,0,39,42,0,8
"040131122012",8,102,27,84,57,28,19,140,0,29,98,31,8
"040131122021",0,58,18,76,0,0,41,14,0,0,0,0,37
"040131122022",65,143,10,58,45,41,0,0,0,0,0,42,38
"040131122023",19,15,31,0,63,55,493,63,36,0,4,57,38
"040131123011",0,49,0,4,0,0,589,212,55,73,19,32,0
"040131123012",50,72,59,119,0,33,0,55,34,31,10,47,0
"040131123013",15,0,30,43,245,35,0,0,0,47,39,0,0
"040131123021",23,12,44,7,0,0,0,187,26,0,31,33,0
"040131123022",49,64,23,66,116,0,14,8,76,25,0,0,0
"040131123023",27,0,0,40,0,18,12,0,24,15,0,90,0
"040131123024",0,0,0,0,0,0,94,83,167,136,0,73,0
"040131123025",78,45,96,77,25,112,139,0,0,0,0,34,0
"040131124011",0,49,0,64,0,26,77,59,38,30,25,0,0
"040131124012",126,0,78,28,116,61,59,35,7,97,22,25,0
"040131124013",26,63,314,90,29,77,0,0,0,56,0,25,0
"040131124021",82,112,147,0,66,174,0,0,0,17,21,35,0
"040131124022",15,28,69,33,15,0,0,0,0,37,90,11,0
"040131124023",0,82,54,16,9,105,0,0,62,25,14,0,0
"040131125071",0,5,48,13,30,5,9,319,55,17,32,28,0
"040131125072",0,0,0,0,0,0,69,147,158,42,29,25,0
"040131126011",0,15,0,13,0,31,133,36,91,0,28,0,0
"040131126012",13,61,74,86,37,14,126,105,54,104,79,62,0
"040131169001",54,57,67,42,39,100,13,52,14,71,33,42,463
