"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"040131071021",386,0,254,420
"040131071022",1441,22,455,835
"040131071023",522,100,460,381
"040131072011",2163,514,2718,0
"040131072012",276,37,157,417
"040131090011",898,14,536,647
"040131090012",1628,47,707,883
"040131091011",802,57,492,404
"040131091012",832,42,444,446
"040131091021",675,0,548,607
"040131091022",1619,72,912,1415
"040131091023",252,21,209,148
"040131092001",0,0,0,0
"040131092002",809,162,416,346
"040131092003",1029,71,320,522
"040131093001",888,154,520,140
"040131093002",909,87,339,601
"040131093003",489,0,188,335
"040131099001",789,71,397,442
"040131099002",1062,36,954,835
"040131099003",1034,121,510,336
"040131099004",599,60,290,294
"040131100011",970,92,814,500
"040131100012",894,0,388,689
"040131100021",878,27,261,503
"040131100022",1601,0,801,933
"040131101001",380,0,379,166
"040131101002",637,18,141,439
"040131101003",1413,41,761,1096
"040131101004",591,0,440,196
"040131121001",751,32,439,254
"040131121002",569,6,259,70
"040131121003",801,0,279,258
"040131122011",1215,40,518,395
"040131122012",1177,162,629,647
"040131122021",201,45,175,92
"040131122022",749,0,575,389
"040131122023",704,54,888,586
"040131123011",867,47,527,445
"040131123012",900,57,397,451
"040131123013",1181,196,375,350
"040131123021",615,0,348,166
"040131123022",882,77,121,371
"040131123023",328,0,233,419
"040131123024",791,47,438,526
"040131123025",909,0,515,584
"040131124011",481,94,350,266
"040131124012",1011,154,564,636
"040131124013",1090,30,420,908
"040131124021",955,17,868,904
"040131124022",560,12,335,296
"040131124023",653,16,416,402
"040131125071",726,21,189,602
"040131125072",662,79,206,369
"040131126011",334,44,388,148
"040131126012",1082,57,688,798
"040131169001",1066,116,938,730
