"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"04013107102",2588,1214,957,594,260
"04013107201",707,4167,289,80,16
"04013109001",2380,1106,1147,445,345
"04013109101",1451,559,918,340,180
"04013109102",3561,1510,1146,520,141
"04013109200",1821,1274,1085,425,110
"04013109300",1534,884,1130,627,252
"04013109900",3232,1784,1805,451,623
"04013110001",1985,791,981,365,221
"04013110002",2355,1114,1125,364,388
"04013110100",3156,1501,1443,565,197
"04013112100",955,827,1058,377,152
"04013112201",1791,956,1054,529,347
"04013112202",1671,1368,724,347,298
"04013112301",2067,1407,1579,470,236
"04013112302",3516,1894,1589,658,159
"04013112401",2107,959,1040,983,300
"04013112402",2667,1285,1223,317,163
"04013112507",1528,509,878,143,82
"04013112601",1655,1099,664,304,68
"04013116900",1181,738,623,139,35
