"geoid","MC","NS","SM","NF","GQ"
"04013107102",559,688,467,5,1
"04013107201",41,154,17,25,5463
"04013109001",353,802,278,236,95
"04013109101",502,248,132,54,2
"04013109102",701,649,159,128,0
"04013109200",574,359,504,115,0
"04013109300",451,507,123,85,5
"04013109900",928,695,287,41,7
"04013110001",474,385,111,0,0
"04013110002",714,431,234,0,0
"04013110100",713,609,354,39,0
"04013112100",458,346,135,118,2
"04013112201",996,118,129,65,16
"04013112202",528,262,618,39,113
"04013112301",754,537,654,52,0
"04013112302",473,1136,436,144,0
"04013112401",556,761,288,97,0
"04013112402",671,482,97,69,0
"04013112507",116,764,78,73,0
"04013112601",344,531,272,15,0
"04013116900",167,336,67,14,463
