"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"04013107102",829,958,380,360,137,917,807,344,427,117
"04013107201",362,2527,20,6,9,109,3135,54,40,20
"04013109001",867,1005,800,214,52,844,784,433,321,40
"04013109101",533,629,342,374,62,492,373,324,269,121
"04013109102",1218,797,652,487,23,1207,602,689,442,361
"04013109200",522,915,601,316,88,749,461,597,324,108
"04013109300",642,592,766,332,113,549,693,476,327,160
"04013109900",1130,1169,967,683,147,1046,1325,414,708,241
"04013110001",839,720,250,383,75,489,684,373,366,168
"04013110002",883,707,480,535,130,713,445,507,508,96
"04013110100",1056,1205,636,617,75,1041,619,839,468,142
"04013112100",382,754,420,525,33,351,503,334,304,112
"04013112201",396,556,555,482,102,881,683,338,698,92
"04013112202",637,229,530,437,159,576,548,328,664,350
"04013112301",780,1074,821,462,238,694,622,389,455,258
"04013112302",1023,808,684,741,75,1377,1115,703,685,159
"04013112401",701,706,463,625,125,1225,801,460,817,81
"04013112402",724,909,507,265,177,1146,601,471,344,290
"04013112507",520,365,267,157,0,488,564,279,144,70
"04013112601",484,369,321,259,166,525,594,285,409,127
"04013116900",407,270,378,402,65,417,382,297,180,52
