"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"06037404703",11,10,51,21,117,117,16,52,146,0,6,178,0
"06037407001",7,60,165,0,29,200,0,0,292,12,12,441,0
"06037407002",19,28,89,21,44,72,16,0,127,17,0,289,46
"06037407101",17,87,42,0,104,272,83,60,228,23,0,180,14
"06037407102",10,50,187,28,97,126,0,40,470,5,18,300,26
"06037407301",0,70,93,35,86,198,22,0,146,16,0,258,19
"06037407302",73,34,52,22,50,139,9,3,210,30,11,148,0
"06037407501",0,52,97,0,41,275,19,0,290,0,0,161,16
"06037407502",0,35,78,0,41,160,0,0,226,0,8,292,8
"06037407601",12,70,66,0,247,156,0,41,231,0,0,311,0
"06037407602",23,59,45,0,112,325,10,16,184,6,0,275,0
"06037407701",8,172,79,37,161,101,30,56,231,0,28,222,2
"06037407702",30,157,142,0,138,291,0,86,403,0,0,536,18
"06037407801",24,55,63,9,14,268,0,0,240,0,0,357,20
"06037407802",4,42,72,0,21,153,7,15,166,18,2,255,18
"06037408301",26,104,93,0,95,347,0,0,418,0,10,362,185
"06037408302",25,42,109,0,78,313,0,8,264,0,0,152,0
"06037408303",11,122,91,27,119,275,0,13,381,0,0,217,0
"06037434004",16,70,72,82,51,59,0,55,90,0,0,228,0
