"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"06037404703",1124,671,524,401,328
"06037407001",1120,1295,1712,419,430
"06037407002",1237,1058,873,318,218
"06037407101",1323,1047,961,483,255
"06037407102",1604,1514,1175,622,625
"06037407301",1310,1214,560,461,234
"06037407302",1933,785,779,269,394
"06037407501",1959,1372,536,298,267
"06037407502",842,1049,869,420,382
"06037407601",1672,957,1142,208,376
"06037407602",1227,968,913,402,429
"06037407701",1301,1151,1002,388,275
"06037407702",2092,1449,1356,987,674
"06037407801",1676,1501,899,410,544
"06037407802",896,844,681,247,447
"06037408301",1180,1759,1179,491,492
"06037408302",1086,777,474,421,517
"06037408303",1438,837,601,394,1069
"06037434004",993,820,691,291,194
