"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"060374047031",821,50,656,361
"060374047032",662,72,324,226
"060374070011",557,19,400,112
"060374070012",1195,33,677,210
"060374070013",1109,100,748,265
"060374070021",747,64,695,397
"060374070022",870,26,545,295
"060374071011",526,12,226,208
"060374071012",510,11,412,189
"060374071013",993,0,736,332
"060374071021",665,6,355,168
"060374071022",1143,36,896,464
"060374071023",805,15,607,327
"060374073011",568,33,446,120
"060374073012",412,90,363,247
"060374073013",347,13,168,166
"060374073014",337,9,211,176
"060374073021",629,17,362,529
"060374073022",603,84,474,358
"060374073023",264,8,204,184
"060374075011",483,9,408,133
"060374075012",394,59,262,374
"060374075013",446,31,424,244
"060374075021",659,19,390,224
"060374075022",806,55,359,104
"060374075023",487,48,368,103
"060374076011",1043,126,602,621
"060374076012",718,35,339,203
"060374076013",293,18,125,59
"060374076021",416,11,307,261
"060374076022",439,71,308,171
"060374076023",600,158,353,195
"060374076024",470,38,217,71
"060374077011",690,73,495,344
"060374077012",741,27,368,149
"060374077013",668,27,448,281
"060374077021",726,47,597,208
"060374077022",1193,117,372,209
"060374077023",572,10,289,319
"060374078011",738,4,493,305
"060374078012",881,140,646,435
"060374078013",636,45,377,122
"060374078021",8,0,1,2
"060374078022",568,12,332,161
"060374083011",174,57,313,0
"060374083012",1171,148,704,347
"060374083021",1527,130,1036,610
"060374083031",1299,22,718,475
"060374340041",1329,101,918,520
