"geoid","Male.<18","Male.18-35","Male.36-50","Male.51-70","Male.>70","Female.<18","Female.18-35","Female.36-50","Female.51-70","Female.>70"
"06037404703",292,435,491,306,88,414,389,320,313,124
"06037407001",436,701,1086,634,292,374,386,487,668,361
"06037407002",570,401,376,396,206,237,366,453,418,216
"06037407101",398,549,408,570,167,451,505,384,546,177
"06037407102",577,742,596,747,315,459,592,474,786,199
"06037407301",382,605,344,413,248,363,302,345,537,167
"06037407302",774,285,308,366,163,414,409,446,390,161
"06037407501",699,381,396,695,82,464,285,527,429,217
"06037407502",223,490,460,457,150,328,417,389,454,254
"06037407601",493,631,524,313,210,410,563,355,472,211
"06037407602",379,529,477,553,101,479,449,401,571,147
"06037407701",655,690,297,610,202,277,554,308,476,242
"06037407702",596,949,527,891,248,653,789,653,967,369
"06037407801",417,661,507,553,208,499,732,413,469,363
"06037407802",308,536,339,354,135,246,407,268,451,174
"06037408301",403,701,487,870,255,390,871,645,709,193
"06037408302",303,450,391,410,193,344,381,286,394,151
"06037408303",473,431,342,522,233,350,559,296,534,295
"06037434004",314,265,180,396,244,244,343,196,373,313
