"geoid","0","1","2","3+","GQ"
"06037404703",72,255,214,184,0
"06037407001",232,229,292,465,0
"06037407002",136,137,143,306,46
"06037407101",146,376,371,203,14
"06037407102",247,251,510,323,26
"06037407301",163,319,168,274,19
"06037407302",159,211,222,189,0
"06037407501",149,316,309,161,16
"06037407502",113,201,226,300,8
"06037407601",148,403,272,311,0
"06037407602",127,437,210,281,0
"06037407701",259,299,317,250,2
"06037407702",329,429,489,536,18
"06037407801",142,291,240,357,20
"06037407802",118,174,188,275,18
"06037408301",223,442,418,372,185
"06037408302",176,391,272,152,0
"06037408303",224,421,394,217,0
"06037434004",158,192,145,228,0
